date,vix_mean,vix_zscore,vix_delta,fed_rate,fed_rate_delta,fed_rate_delta3,cbr_rate,cbr_rate_delta,cbr_rate_delta3,cpi_russia,usdrub_vol,usdrub_zscore,usdrub_accel,imoex_return,imoex_vol,imoex_drawdown,ofz_spread,ofz_spread_proxy,ofz_spread_filled,bis_credit_gap,news_sentiment,label
2003-01-01,27.424285707019624,,,1.1480000019073486,,,21.0,,,,,,,,0.012524247886210206,,,19.85199999809265,19.85199999809265,,,0
2003-02-01,32.218421032554225,,4.794135325534601,1.1749999523162842,0.026999950408935547,,18.0,-3.0,,,,,,10.9620770545386,0.012725331243962978,,,16.825000047683716,16.825000047683716,,,0
2003-03-01,30.634285699753534,,-1.5841353328006917,1.090000033378601,-0.0849999189376831,,18.0,0.0,,,,,,-4.674642547917218,0.015877595452128305,,,16.9099999666214,16.9099999666214,,,0
2003-04-01,23.991904758271716,,-6.642380941481818,1.1009999513626099,0.010999917984008789,-0.04700005054473877,18.0,0.0,-3.0,,,,,13.581916988884245,0.013536750497265566,19.869351495505626,,16.89900004863739,16.89900004863739,,,0
2003-05-01,20.23952375139509,,-3.7523810068766252,1.0850000381469727,-0.015999913215637207,-0.08999991416931152,18.0,0.0,0.0,,,,,13.875207830096947,0.01310426173548128,22.782482271063976,,16.914999961853027,16.914999961853027,,,0
2003-06-01,20.362380799793062,,0.12285704839797162,0.8379999995231628,-0.24700003862380981,-0.25200003385543823,16.0,-2.0,-2.0,,,,,8.15996960197587,0.020092915404376563,35.61709442095706,,15.162000000476837,15.162000000476837,,,0
2003-07-01,19.16136360168457,,-1.2010171981084916,0.9269999861717224,0.08899998664855957,-0.17399996519088745,16.0,0.0,-2.0,,,,,-5.519936764447564,0.02582603970416389,16.51524066762525,,15.073000013828278,15.073000013828278,,,0
2003-08-01,19.27428572518485,,0.11292212350027953,0.9599999785423279,0.03299999237060547,-0.12500005960464478,16.0,0.0,-2.0,,,,,12.479665349755976,0.012496227568456215,15.119698187284282,,15.040000021457672,15.040000021457672,,,0
2003-09-01,19.53238096691313,,0.2580952417282809,0.9259999990463257,-0.0339999794960022,0.08799999952316284,16.0,0.0,0.0,,,,,6.440082644628098,0.012287508272285972,13.39981122993651,,15.074000000953674,15.074000000953674,,,0
2003-10-01,18.0234783006751,,-1.5089026662380292,0.9319999814033508,0.0059999823570251465,0.004999995231628418,16.0,0.0,0.0,,,,,-8.99120678610943,0.03484135859437781,9.928541208274645,,15.06800001859665,15.06800001859665,,,0
2003-11-01,17.401052575362357,,-0.6224257253127448,0.9079999923706055,-0.02399998903274536,-0.05199998617172241,16.0,0.0,0.0,,,,,3.3870107710355146,0.027978204348201866,0.8358866295541834,,15.092000007629395,15.092000007629395,,,0
2003-12-01,16.826363650235262,,-0.574688925127095,0.9070000052452087,-0.0009999871253967285,-0.018999993801116943,16.0,0.0,0.0,,0.002185015970147028,,,6.184886431621739,0.011523661109576354,0.5806904165478244,,15.092999994754791,15.092999994754791,,,0
2004-01-01,16.100999975204466,,-0.7253636750307955,0.8970000147819519,-0.009999990463256836,-0.034999966621398926,14.0,-2.0,-2.0,,0.002046914578253306,,,7.190456762060182,0.020697247865541245,16.762353964717438,,13.102999985218048,13.102999985218048,,,0
2004-02-01,15.998421167072497,,-0.10257880813196962,0.9269999861717224,0.029999971389770508,0.018999993801116943,14.0,0.0,-2.0,,0.0013939169155220432,,-0.0007910990546249848,7.135866018995141,0.010723681687915853,20.511209212677063,,13.073000013828278,13.073000013828278,,,0
2004-03-01,17.687391198199727,,1.68897003112723,0.9229999780654907,-0.0040000081062316895,0.015999972820281982,14.0,0.0,-2.0,,0.0012929056741595296,,-0.0007540089040937762,9.059534081104381,0.014703707397870646,23.385856862159706,,13.07700002193451,13.07700002193451,,,0
2004-04-01,15.6985715230306,,-1.9888196751691272,0.9520000219345093,0.029000043869018555,0.05500000715255737,14.0,0.0,0.0,,0.002312922267402872,,0.0009190053518808286,-12.853685778108714,0.02223760553145374,3.3417143219908088,,13.04799997806549,13.04799997806549,,,0
2004-05-01,17.704999876022338,,2.0064283529917386,1.0520000457763672,0.10000002384185791,0.12500005960464478,14.0,0.0,0.0,,0.0019150013375737926,,0.000622095663414263,-4.695788386913025,0.028900471756389223,-8.489940083917357,,12.947999954223633,12.947999954223633,,,0
2004-06-01,15.35714290255592,,-2.3478569734664188,1.3029999732971191,0.25099992752075195,0.3799999952316284,13.0,-1.0,-1.0,,0.0005627453334742224,,-0.0017501769339286492,-0.10459469555471612,0.029356607809928405,-17.654068860576455,,11.69700002670288,11.69700002670288,,,0
2004-07-01,15.502380916050502,,0.14523801349458232,1.4119999408721924,0.10899996757507324,0.4599999189376831,13.0,0.0,-1.0,,0.000638711805815103,,-0.0012762895317586895,-5.988706902999031,0.0258071391656709,-10.78908998546677,,11.588000059127808,11.588000059127808,,,0
2004-08-01,16.684090744365346,,1.181709828314844,1.5679999589920044,0.156000018119812,0.5159999132156372,13.0,0.0,-1.0,,0.0006423428527866676,,7.95975193124452e-05,9.242059624908006,0.013544632713750362,3.14875802635426,,11.432000041007996,11.432000041007996,,,0
2004-09-01,14.08095241728283,,-2.6031383270825152,1.6740000247955322,0.10600006580352783,0.3710000514984131,13.0,0.0,0.0,,0.00034728974689311433,,-0.0002914220589219887,11.241989513545004,0.007801611317554634,14.49534223545398,,11.325999975204468,11.325999975204468,,,0
2004-10-01,14.973809560139975,,0.8928571428571441,1.8669999837875366,0.1929999589920044,0.45500004291534424,13.0,0.0,0.0,,0.002154846899108579,,0.0015125040463219114,3.590658396478097,0.02954153634320396,24.074707534931107,,11.133000016212463,11.133000016212463,,,0
2004-11-01,13.577142897106352,,-1.3966666630336224,2.181999921798706,0.31499993801116943,0.6139999628067017,13.0,0.0,0.0,,0.0018514303130098032,,0.0015041405661166888,-9.828269902207065,0.015262222420443628,5.0043780078160385,,10.818000078201294,10.818000078201294,,,0
2004-12-01,12.459545438939875,,-1.1175974581664772,2.181999921798706,0.0,0.5079998970031738,13.0,0.0,0.0,,0.0026048424885232744,,0.00044999558941469535,-3.2483005115985675,0.02835913937995568,-9.485912017327532,,10.818000078201294,10.818000078201294,,,0
2005-01-01,13.43799991607666,,0.9784544771367845,2.421999931335449,0.24000000953674316,0.5549999475479126,13.0,0.0,0.0,,0.00327218267753535,,0.0014207523645255469,4.25917206910289,0.012305460361262354,-8.817398344702742,,10.57800006866455,10.57800006866455,,,0
2005-02-01,11.708947482861971,,-1.7290524332146884,2.690000057220459,0.26800012588500977,0.5080001354217529,13.0,0.0,0.0,,0.002658685572788901,,5.384308426562663e-05,10.358842533087852,0.00923188642113961,11.369714090592176,,10.309999942779541,10.309999942779541,,,0
2005-03-01,13.126363667574795,,1.417416184712824,2.7219998836517334,0.031999826431274414,0.5399999618530273,13.0,0.0,0.0,,0.002065549095440911,,-0.001206633582094439,-5.876798136548212,0.018421788627431667,8.741216465642532,,10.278000116348267,10.278000116348267,,,0
2005-04-01,14.459047589983259,,1.3326839224084637,2.8369998931884766,0.11500000953674316,0.41499996185302734,13.0,0.0,0.0,,0.0028650223084016606,,0.00020633673561275961,-0.6956056451073445,0.013064616784950361,3.786438751432297,,10.163000106811523,10.163000106811523,,,0
2005-05-01,13.967618987673806,,-0.49142860230945296,2.881999969482422,0.04500007629394531,0.1919999122619629,13.0,0.0,0.0,,0.002366166846917263,,0.00030061775147635205,1.6855256954266817,0.014419038800484054,-4.886878086228874,,10.118000030517578,10.118000030517578,,,0
2005-06-01,11.868636348030783,,-2.0989826396430225,3.059999942779541,0.17799997329711914,0.3380000591278076,13.0,0.0,0.0,,0.0019536598795884905,,-0.0009113624288131701,5.976253953534583,0.0066736559246857756,6.96617400385392,,9.940000057220459,9.940000057220459,,,0
2005-07-01,11.049000024795532,,-0.819636323235251,3.3320000171661377,0.2720000743865967,0.49500012397766113,13.0,0.0,0.0,,0.002360826745044583,,-5.340101872679942e-06,9.47998374949217,0.010657000531291068,17.141763398453435,,9.667999982833862,9.667999982833862,,,0
2005-08-01,12.951304394265879,,1.9023043694703468,3.430000066757202,0.09800004959106445,0.5480000972747803,13.0,0.0,0.0,,0.004510306243216559,,0.0025566463636280687,11.936059373438956,0.01061313973166569,27.39229707646571,,9.569999933242798,9.569999933242798,,,0
2005-09-01,12.628095263526554,,-0.32320913073932545,3.4700000286102295,0.039999961853027344,0.4100000858306885,13.0,0.0,0.0,,0.0035288222166132838,,0.0011679954715687006,13.798643341663697,0.017573397097981388,35.21468646459483,,9.52999997138977,9.52999997138977,,,0
2005-10-01,14.937618982224237,,2.309523718697683,3.805000066757202,0.33500003814697266,0.47300004959106445,13.0,0.0,0.0,,0.002424786837195987,,-0.0020855194060205723,-5.600000000000005,0.030814319570814055,20.134702715102648,,9.194999933242798,9.194999933242798,,,0
2005-11-01,12.147619111197335,,-2.789999871026902,3.8570001125335693,0.05200004577636719,0.4270000457763672,13.0,0.0,0.0,,0.00213028142323633,,-0.0013985407933769537,12.11009827659877,0.011281878503412788,20.30874161826246,,9.14299988746643,9.14299988746643,,,0
2005-12-01,11.260000001816522,-1.0927084105170402,-0.8876191093808128,3.984999895095825,0.12799978256225586,0.5149998664855957,12.0,-1.0,-1.0,,0.003596584644935928,,0.001171797807739941,7.035096077497216,0.00854097460495214,13.54519435409598,,8.015000104904175,8.015000104904175,,,0
2006-01-01,12.03600001335144,-0.9053336402206381,0.7760000115349186,4.369999885559082,0.38499999046325684,0.5649998188018799,12.0,0.0,-1.0,,0.002338010792430517,,0.0002077293691941872,15.86943620178043,0.026487503663667242,35.014630555876415,,7.630000114440918,7.630000114440918,,,0
2006-02-01,12.47105262154027,-0.8415564464965615,0.43505260818882974,4.506999969482422,0.13700008392333984,0.6499998569488525,12.0,0.0,-1.0,,,,,12.75268046165403,0.022758389630830638,35.657212740931676,,7.493000030517578,7.493000030517578,,,0
2006-03-01,11.693913003672725,-1.153546032538962,-0.7771396178675456,4.514999866485596,0.007999897003173828,0.5299999713897705,12.0,0.0,0.0,,,,,-1.638363756123029,0.020702138338732873,26.983752907311434,,7.485000133514404,7.485000133514404,,,0
2006-04-01,11.847368441129985,-1.1136864094720125,0.15345543745726076,4.650000095367432,0.13500022888183594,0.2800002098083496,12.0,0.0,0.0,,,,,14.444384578083259,0.01622715058691105,25.558701283614262,,7.349999904632568,7.349999904632568,,,0
2006-05-01,14.454545411196621,-0.12739043199228997,2.607176970066636,4.715000152587891,0.06500005722045898,0.20800018310546875,12.0,0.0,0.0,,0.01954728092496923,,,-13.811077109325076,0.043405725061521655,-1.0050562873648463,,7.284999847412109,7.284999847412109,,,0
2006-06-01,16.91863627867265,0.8945563084546165,2.4640908674760293,4.860000133514404,0.14499998092651367,0.3450002670288086,11.5,-0.5,-0.5,,0.004029930778395157,,,3.8930940304330974,0.041050935495764745,4.52640149919128,,6.639999866485596,6.639999866485596,,,0
2006-07-01,15.325999879837036,0.31151612037556753,-1.592636398835614,4.934999942779541,0.07499980926513672,0.2849998474121094,11.5,0.0,-0.5,,0.001969814510593609,,-0.01757746641437562,3.6690977099121946,0.023048879885094683,-6.248885368979784,,6.565000057220459,6.565000057220459,,,0
2006-08-01,13.351739137069039,-0.479414786558231,-1.9742607427679975,4.90500020980835,-0.029999732971191406,0.19000005722045898,11.5,0.0,-0.5,,0.0018064903011341654,,-0.0022234404772609913,4.9614559786703705,0.015413978865571996,12.523647719015663,,6.59499979019165,6.59499979019165,,,0
2006-09-01,12.184499979019165,-0.9753173283781841,-1.167239158049874,4.760000228881836,-0.14499998092651367,-0.09999990463256836,11.5,0.0,0.0,,0.0016777623299317984,,-0.0002920521806618105,-5.624275222265174,0.022491544493425875,3.006278466317391,,6.739999771118164,6.739999771118164,,,0
2006-10-01,11.306363625959916,-1.3389395361642553,-0.878136353059249,4.940000057220459,0.17999982833862305,0.005000114440917969,11.0,-0.5,-0.5,,0.0019348854938618678,,0.0001283951927277024,4.360609695444828,0.014625173281380082,3.6977904518500244,,6.059999942779541,6.059999942779541,,,0
2006-11-01,10.817619051252093,-1.500613752249528,-0.4887445747078232,4.889999866485596,-0.05000019073486328,-0.015000343322753906,11.0,0.0,-0.5,,0.001889849501985091,,0.00021208717205329253,8.670787603549046,0.009947597282256845,7.4071220767287,,6.110000133514404,6.110000133514404,,,0
2006-12-01,10.964500045776367,-1.3544137447178797,0.14688099452427394,4.885000228881836,-0.004999637603759766,0.125,11.0,0.0,-0.5,,0.0016855346670112833,,-0.0002493508268505845,9.21526138606199,0.008782241456110012,22.246658685055863,,6.114999771118164,6.114999771118164,,,0
2007-01-01,11.042500066757203,-1.2437047982658076,0.07800002098083603,4.974999904632568,0.08999967575073242,0.034999847412109375,10.5,-0.5,-0.5,,0.0013964496230929532,,-0.0004933998788921377,-2.1571093671573727,0.023382122444560664,15.72893962245366,,5.525000095367432,5.525000095367432,,,0
2007-02-01,11.155263097662674,-1.1246315915376146,0.11276303090547124,4.994999885559082,0.019999980926513672,0.10500001907348633,10.5,0.0,-0.5,,0.0017581428091062625,,7.260814209497928e-05,-0.10199524424542306,0.01850687606689904,6.956156774659194,,5.505000114440918,5.505000114440918,,,0
2007-03-01,15.162727269259365,0.9612499359120945,4.007464171596691,4.894999980926514,-0.09999990463256836,0.009999752044677734,10.5,0.0,-0.5,,0.002023355621433042,,0.0006269059983400886,2.5875245431203675,0.018991821608789736,0.3284199317175718,,5.605000019073486,5.605000019073486,,,0
2007-04-01,12.93299994468689,-0.17944718669737267,-2.229727324572476,4.724999904632568,-0.1700000762939453,-0.25,10.5,0.0,0.0,,0.0027399902792627634,,0.0009818474701565009,-0.04711203241307693,0.013621568365655687,2.4384172664618675,,5.775000095367432,5.775000095367432,,,0
2007-05-01,13.297727324745871,0.09178753288290274,0.36472738005898186,4.590000152587891,-0.13499975204467773,-0.4049997329711914,10.5,0.0,0.0,,0.001648251260342104,,-0.00037510436109093777,-7.479025263951733,0.015375384584852311,-4.938612753244443,,5.909999847412109,5.909999847412109,,,0
2007-06-01,14.947618938627697,1.08502716082344,1.6498916138818256,4.670000076293945,0.07999992370605469,-0.22499990463256836,10.0,-0.5,-0.5,,0.002796447140131478,,5.645686086871472e-05,6.089127195384436,0.01319405253554105,-1.4370101009803742,,5.329999923706055,5.329999923706055,,,0
2007-07-01,17.273333277021134,2.3137479556588114,2.3257143383934373,4.809999942779541,0.1399998664855957,0.08500003814697266,10.0,0.0,-0.5,,0.005206503607137721,,0.0035582523467956166,4.109342361161139,0.014577701710536978,2.719444292593842,,5.190000057220459,5.190000057220459,,,0
2007-08-01,25.026086724322774,4.476113426855776,7.7527534473016395,3.990000009536743,-0.8199999332427979,-0.6000001430511475,10.0,0.0,-0.5,,0.0025419041350227805,,-0.0002545430051086976,-3.30946368238374,0.016254543049331275,6.889005874161835,,6.009999990463257,6.009999990463257,,,0
2007-09-01,22.19894740456029,2.8740944848077734,-2.827139319762484,3.700000047683716,-0.28999996185302734,-0.9700000286102295,10.0,0.0,0.0,,0.002089117026156855,,-0.0031173865809808656,4.914670069528104,0.013889494618655688,5.7145487483055035,,6.299999952316284,6.299999952316284,,,0
2007-10-01,19.115652084350586,1.724952968622468,-3.0832953202097038,3.819999933242798,0.11999988555908203,-0.9900000095367432,10.0,0.0,0.0,,0.002048575358069583,,-0.0004933287769531974,6.552653116900831,0.013098796505248542,8.157859504045195,,6.180000066757202,6.180000066757202,,,0
2007-11-01,25.582380930582683,3.123225847934601,6.4667288462320975,3.069999933242798,-0.75,-0.9200000762939453,10.0,0.0,0.0,,0.002709294346129066,,0.000620177319972211,-1.284985037845443,0.010925721424079009,10.182338148583492,,6.930000066757202,6.930000066757202,,,0
2007-12-01,21.651000022888184,1.8847023303944048,-3.9313809076945,3.140000104904175,0.07000017166137695,-0.559999942779541,10.0,0.0,0.0,,0.003080140884178676,,0.0010315655261090928,2.0652314874854083,0.012369957882081381,7.332899566540796,,6.859999895095825,6.859999895095825,,,0
2008-01-01,25.816190719604492,2.5768753719223962,4.165190696716309,1.8700000047683716,-1.2700001001358032,-1.9499999284744263,10.0,0.0,0.0,,0.0042519106407238475,,0.0015426162945947814,-16.651842910538626,0.03255507453359601,-15.871596460898662,,8.129999995231628,8.129999995231628,,,0
2008-02-01,25.456000137329102,2.236887945594545,-0.3601905822753899,1.784999966621399,-0.08500003814697266,-1.284999966621399,10.25,0.25,0.25,,0.003257534582154951,,0.00017739369797627495,5.468357968151549,0.020642674306192176,-9.11825345490167,,8.465000033378601,8.465000033378601,,,0
2008-03-01,27.103500080108642,2.309101073707585,1.6474999427795396,1.274999976158142,-0.5099999904632568,-1.8650001287460327,10.25,0.0,0.25,,0.0035568633601961736,,-0.0006950472805276739,-1.9266209754158603,0.018030411598784473,-13.110105917802938,,8.975000023841858,8.975000023841858,,,0
2008-04-01,21.562727321277965,1.1492629253031477,-5.540772758830677,1.340000033378601,0.06500005722045898,-0.5299999713897705,10.5,0.25,0.5,,0.003159296911732236,,-9.823767042271489e-05,2.390032116824181,0.01259443296327295,5.931769109559868,,9.159999966621399,9.159999966621399,,,0
2008-05-01,18.303333009992325,0.49102152202806554,-3.2593943112856394,1.850000023841858,0.5099999904632568,0.06500005722045898,10.5,0.0,0.25,,0.003850311983949455,,0.0002934486237532812,15.467058506012531,0.016871690950520428,15.93046964742085,,8.649999976158142,8.649999976158142,,,1
2008-06-01,22.11047617594401,1.1610510563921492,3.807143165951686,1.7050000429153442,-0.14499998092651367,0.43000006675720215,10.75,0.25,0.5,,0.0032028850301876804,,4.358811845544446e-05,-8.911616214082397,0.01138885395484846,8.945474408754315,,9.044999957084656,9.044999957084656,,,1
2008-07-01,24.32136362249201,1.4848356731732195,2.210887446548,1.6349999904632568,-0.0700000524520874,0.29499995708465576,11.0,0.25,0.5,,0.002959992925239102,,-0.0008903190587103526,-14.731391881026656,0.02263982668728958,-8.175949589096524,,9.365000009536743,9.365000009536743,,,1
2008-08-01,20.695714133126394,0.7607500418116582,-3.6256494893656175,1.690000057220459,0.05500006675720215,-0.15999996662139893,11.0,0.0,0.5,,0.025834285918704958,,0.022631400888517277,-9.79114977964729,0.028863965977795805,-33.434157874756345,,9.309999942779541,9.309999942779541,,,1
2008-09-01,30.238571348644438,2.282666214845071,9.542857215518044,0.8999999761581421,-0.7900000810623169,-0.8050000667572021,11.0,0.0,0.25,,0.00719707058494584,,0.004237077659706738,-23.816089908964212,0.07802824406877089,-48.33863156963816,,10.100000023841858,10.100000023841858,,,2
2008-10-01,61.1773912181025,4.595930486234978,30.93881986945806,0.4350000023841858,-0.4649999737739563,-1.199999988079071,11.0,0.0,0.0,,0.0064391149216888235,,-0.019395170997016133,-28.774108168071155,0.09383529508620098,-62.38134785668265,,10.564999997615814,10.564999997615814,,,2
2008-11-01,62.639473362972865,3.6281132716627225,1.4620821448703651,0.019999999552965164,-0.4150000028312206,-1.6700000576674938,12.0,1.0,1.0,,0.008258344363143955,,0.001061273778198115,-16.481774960380346,0.06367345354949094,-69.07197303741572,,11.980000000447035,11.980000000447035,,,2
2008-12-01,52.405000166459516,2.4390114575970068,-10.234473196513349,0.11500000208616257,0.0950000025331974,-0.7849999740719795,13.0,1.0,2.0,,0.019641872234607848,,0.013202757312919025,1.3429954851795989,0.034683617655591636,-43.9128876432719,,12.884999997913837,12.884999997913837,,,2
2009-01-01,44.68300018310547,1.7045120466199064,-7.721999983354046,0.2199999988079071,0.10499999672174454,-0.2150000035762787,13.0,0.0,2.0,,0.0227435507290503,,0.014485206365906346,0.8667861120526865,0.039473261058573024,-14.27199336314806,,12.780000001192093,12.780000001192093,,,2
2009-02-01,45.57052592227333,1.6450020244198968,0.887525739167863,0.25,0.030000001192092896,0.23000000044703484,13.0,0.0,1.0,,0.013435002372085794,,-0.006206869862522054,6.585053608577374,0.04167340811389644,8.794835205809658,,12.75,12.75,,,2
2009-03-01,44.7954548922452,1.486464662100585,-0.7750710300281298,0.20000000298023224,-0.04999999701976776,0.08500000089406967,13.0,0.0,0.0,,0.011028888762937495,,-0.011714661966112806,16.04684333008033,0.039625702793806984,23.498683050710387,,12.799999997019768,12.799999997019768,,,2
2009-04-01,38.063809349423366,0.9575020662876684,-6.731645542821838,0.125,-0.07500000298023224,-0.0949999988079071,12.5,-0.5,-0.5,,0.0073798359778061975,0.23739314781059706,-0.006055166394279597,19.072878527162885,0.02733482788919508,41.70477546582059,,12.375,12.375,,,2
2009-05-01,31.97799997329712,0.497548772485853,-6.085809376126246,0.12999999523162842,0.004999995231628418,-0.12000000476837158,12.0,-0.5,-1.0,,0.007017497222479917,0.25240284160389936,-0.004011391540457578,22.06008583690988,0.028126294447016992,57.17980769415309,,11.870000004768372,11.870000004768372,,,2
2009-06-01,29.140454725785688,0.2745204355287256,-2.8375452475114322,0.18000000715255737,0.050000011920928955,-0.019999995827674866,11.5,-0.5,-1.5,,0.007355200375489192,0.29328553013031283,-2.463560231700558e-05,-13.51546226566257,0.04015495211225638,27.617502098410192,,11.319999992847443,11.319999992847443,,,2
2009-07-01,26.16272735595703,0.04281533539165359,-2.9777273698286564,0.17499999701976776,-0.005000010132789612,0.04999999701976776,11.0,-0.5,-1.5,,0.010465109483934813,0.7706861654679716,0.003447612261454896,8.41438937779837,0.029815123449254542,16.95901294904568,,10.825000002980232,10.825000002980232,,,0
2009-08-01,25.33714285350981,-0.040214141188351496,-0.8255845024472208,0.12999999523162842,-0.04500000178813934,0.0,10.75,-0.25,-1.25,,0.018091551847241396,1.8732250000342718,0.010736351471752205,3.6722681097503207,0.022434451275434798,-1.428804778113883,,10.620000004768372,10.620000004768372,,,0
2009-09-01,24.926666713896253,-0.09670393327711752,-0.4104761396135572,0.11500000208616257,-0.01499999314546585,-0.0650000050663948,10.0,-0.75,-1.5,,0.03526242926488241,3.5558144818486994,0.0247973197809476,9.635707613692567,0.018168852315107984,21.722365101241255,,9.884999997913837,9.884999997913837,,,0
2009-10-01,24.252272865988992,-0.17535131595349335,-0.6743938479072611,0.04500000178813934,-0.07000000029802322,-0.12999999523162842,9.5,-0.5,-1.5,,0.007822965267791674,0.05602697337311602,-0.010268586579449722,3.339458737053125,0.02820789881096204,16.647434460496008,,9.45499999821186,9.45499999821186,,,0
2009-11-01,23.783499908447265,-0.241792942782054,-0.4687729575417272,0.05000000074505806,0.004999998956918716,-0.07999999448657036,9.0,-0.5,-1.75,,0.008743668228627662,0.15028745653826395,-0.02651876103625475,3.8612004720412596,0.023576055410880783,16.83636682278695,,8.949999999254942,8.949999999254942,,,0
2009-12-01,21.239545475352894,-0.4653216279973973,-2.5439544330943704,0.05000000074505806,0.0,-0.06500000134110451,8.75,-0.25,-1.25,,0.010871925252783594,0.39347530802103026,0.00304895998499192,6.6197128292929674,0.014140184704538771,13.820372038387351,,8.699999999254942,8.699999999254942,,,0
2010-01-01,20.643157758210833,-0.5424751631014383,-0.5963877171420613,0.07000000029802322,0.019999999552965164,0.02499999850988388,8.75,0.0,-0.75,,0.006717014491218026,-0.1646261489367168,-0.0020266537374096357,3.6065430179341718,0.019011323834098336,14.087456319268398,,8.679999999701977,8.679999999701977,,,0
2010-02-01,22.540000012046413,-0.42727583649251655,1.8968422538355796,0.11500000208616257,0.04500000178813934,0.06500000134110451,8.5,-0.25,-0.5,,0.0048965783346773374,-0.4167973048229269,-0.005975346918106256,-6.1137647771625,0.016550855523272,4.112491070064637,,8.384999997913837,8.384999997913837,,,0
