Date,Adj Close,Close,High,Low,Open,Volume
,EURRUB=X,EURRUB=X,EURRUB=X,EURRUB=X,EURRUB=X,EURRUB=X
2008-01-01,35.29240036010742,35.29240036010742,35.29240036010742,35.29240036010742,35.29240036010742,0
2008-01-02,35.25920104980469,35.25920104980469,36.01359939575195,35.887001037597656,35.89390182495117,0
2008-01-03,36.013999938964844,36.013999938964844,36.04800033569336,35.25920104980469,35.25920104980469,0
2008-01-04,36.025001525878906,36.025001525878906,36.126399993896484,35.943199157714844,36.01499938964844,0
2008-01-07,35.27190017700195,35.27190017700195,36.020999908447266,35.9015998840332,36.020999908447266,0
2008-01-08,35.295101165771484,35.295101165771484,35.99570083618164,35.27190017700195,35.27190017700195,0
2008-01-09,35.349998474121094,35.349998474121094,35.995201110839844,35.295101165771484,35.295101165771484,0
2008-01-10,36.03900146484375,36.03900146484375,36.04999923706055,35.349998474121094,35.349998474121094,0
2008-01-11,36.009300231933594,36.009300231933594,36.06119918823242,35.97949981689453,36.04100036621094,0
2008-01-14,36.099998474121094,36.099998474121094,36.15999984741211,36.040000915527344,36.10300064086914,0
2008-01-15,36.04100036621094,36.04100036621094,36.16170120239258,36.01300048828125,36.0989990234375,0
2008-01-16,35.87799835205078,35.87799835205078,36.095699310302734,35.80110168457031,36.04899978637695,0
2008-01-17,35.862998962402344,35.862998962402344,35.930999755859375,35.77989959716797,35.88100051879883,0
2008-01-18,35.83000183105469,35.83000183105469,35.926998138427734,35.80440139770508,35.85200119018555,0
2008-01-21,35.749298095703125,35.749298095703125,35.953800201416016,35.67470169067383,35.83580017089844,0
2008-01-22,36.04399871826172,36.04399871826172,36.068199157714844,35.186798095703125,35.75699996948242,0
2008-01-23,36.03499984741211,36.03499984741211,36.07709884643555,35.92430114746094,36.053001403808594,0
2008-01-24,36.11800003051758,36.11800003051758,36.112998962402344,35.3046989440918,35.3046989440918,0
2008-01-25,35.919898986816406,35.919898986816406,36.112998962402344,35.91600036621094,36.08399963378906,0
2008-01-28,36.17399978637695,36.17399978637695,36.19499969482422,35.92290115356445,36.00299835205078,0
2008-01-29,36.1609992980957,36.1609992980957,36.20399856567383,36.089599609375,36.16999816894531,0
2008-01-30,36.22200012207031,36.22200012207031,36.26599884033203,36.125701904296875,36.159000396728516,0
2008-01-31,36.310001373291016,36.310001373291016,36.332000732421875,36.160099029541016,36.22800064086914,0
2008-02-01,36.24800109863281,36.24800109863281,36.38370132446289,36.19770050048828,36.31100082397461,0
2008-02-04,35.62419891357422,35.62419891357422,36.332000732421875,36.200801849365234,36.25299835205078,0
2008-02-05,36.053001403808594,36.053001403808594,36.31990051269531,36.009300231933594,36.31399917602539,0
2008-02-06,36.005001068115234,36.005001068115234,36.109901428222656,36.005001068115234,36.05099868774414,0
2008-02-07,35.88999938964844,35.88999938964844,36.0629997253418,35.37099838256836,36.007999420166016,0
2008-02-08,35.874698638916016,35.874698638916016,35.9109992980957,35.80730056762695,35.887001037597656,0
2008-02-11,35.81800079345703,35.81800079345703,35.95600128173828,35.784400939941406,35.90599822998047,0
2008-02-12,35.904998779296875,35.904998779296875,35.92470169067383,35.7672004699707,35.8129997253418,0
2008-02-13,35.922000885009766,35.922000885009766,35.97610092163086,35.84479904174805,35.89899826049805,0
2008-02-14,36.02299880981445,36.02299880981445,36.03900146484375,35.895999908447266,35.93000030517578,0
2008-02-15,36.05870056152344,36.05870056152344,36.11149978637695,35.985198974609375,36.0260009765625,0
